Time            	S0              	C4              	C3              	C2H4O           	M4              	M5              	M6              	A1              	E1              	C2              	E2              	E3              	B1              	B2              	B3              	M1              	M2              	M3              	CH2O            	A2              
1.6218100974e-12	2.6924574278e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	8.7900783681e-11	3.0383092609e-12	9.4453145482e-21	1.1998968154e-17	2.3307234965e-05	2.5000000000e+00	1.7161674012e-06	2.9981089039e-17	9.9324511972e-01	6.4606100885e-03	6.1039170751e-11	4.2994843615e-17	6.8801302055e-16	2.1411329845e-20	0.0000000000e+00	8.9355881776e-10
1.6595869074e-12	2.6923029169e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	9.1459690505e-11	3.2485453465e-12	1.0322653806e-20	1.1989022677e-17	2.3305799951e-05	2.5000000000e+00	1.7147445032e-06	2.9956215499e-17	9.9318977127e-01	6.5159768123e-03	6.1605982701e-11	4.3040374004e-17	7.0669062250e-16	2.2236860288e-20	0.0000000000e+00	9.2808381767e-10
1.6982436525e-12	2.6921512794e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	9.5136849486e-11	3.4723579860e-12	1.1277113060e-20	1.1978858984e-17	2.3304391591e-05	2.5000000000e+00	1.7132902768e-06	2.9930794253e-17	9.9313545207e-01	6.5703139963e-03	6.2162254827e-11	4.3086941487e-17	7.2578723371e-16	2.3085098360e-20	0.0000000000e+00	9.6372780247e-10
1.7378008287e-12	2.6920026064e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	9.8935104722e-11	3.7105593797e-12	1.2315051690e-20	1.1968472651e-17	2.3303010690e-05	2.5000000000e+00	1.7118040774e-06	2.9904814032e-17	9.9308219486e-01	6.6235888979e-03	6.2707651931e-11	4.3134569462e-17	7.4531188031e-16	2.3956401102e-20	0.0000000000e+00	1.0005176066e-09
1.7782794100e-12	2.6918569848e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0285732878e-10	3.9640062224e-12	1.3443314021e-20	1.1957859183e-17	2.3301658031e-05	2.5000000000e+00	1.7102852492e-06	2.9878263372e-17	9.9303003087e-01	6.6757702786e-03	6.3241854212e-11	4.3183281789e-17	7.6527376580e-16	2.4851129446e-20	0.0000000000e+00	1.0384803512e-09
1.8197008586e-12	2.6917144973e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0690642210e-10	4.2336019024e-12	1.4669262685e-20	1.1947014012e-17	2.3300334365e-05	2.5000000000e+00	1.7087331252e-06	2.9851130612e-17	9.9297898972e-01	6.7268285119e-03	6.3764558368e-11	4.3233102821e-17	7.8568227372e-16	2.5769648678e-20	0.0000000000e+00	1.0776434393e-09
1.8620871367e-12	2.6915752218e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1108531249e-10	4.5202987965e-12	1.6000813953e-20	1.1935932500e-17	2.3299040405e-05	2.5000000000e+00	1.7071470271e-06	2.9823403895e-17	9.9292909930e-01	6.7767356879e-03	6.4275478678e-11	4.3284057422e-17	8.0654697032e-16	2.6712328921e-20	0.0000000000e+00	1.1180345521e-09
1.9054607180e-12	2.6914392309e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1539695469e-10	4.8251006679e-12	1.7446475135e-20	1.1924609938e-17	2.3297776821e-05	2.5000000000e+00	1.7055262654e-06	2.9795071163e-17	9.9288038571e-01	6.8254657152e-03	6.4774348031e-11	4.3336170982e-17	8.2787760730e-16	2.7679545631e-20	0.0000000000e+00	1.1596816457e-09
1.9498445998e-12	2.6913065921e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.1984432999e-10	5.1490651686e-12	1.9015384136e-20	1.1913041544e-17	2.3296544234e-05	2.5000000000e+00	1.7038701389e-06	2.9766120159e-17	9.9283287312e-01	6.8729944185e-03	6.5260918935e-11	4.3389469443e-17	8.4968412448e-16	2.8671680116e-20	0.0000000000e+00	1.2026129488e-09
1.9952623150e-12	2.6911773674e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2443044600e-10	5.4933064523e-12	2.0717351269e-20	1.1901222467e-17	2.3295343214e-05	2.5000000000e+00	1.7021779350e-06	2.9736538424e-17	9.9278658367e-01	6.9192996308e-03	6.5734964458e-11	4.3443979301e-17	8.7197665247e-16	2.9689120057e-20	0.0000000000e+00	1.2468569610e-09
2.0417379447e-12	2.6910516126e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.2915833647e-10	5.8589979022e-12	2.2562903407e-20	1.1889147783e-17	2.3294174278e-05	2.5000000000e+00	1.7004489295e-06	2.9706313299e-17	9.9274153744e-01	6.9643612812e-03	6.6196279125e-11	4.3499727631e-17	8.9476551545e-16	3.0732260048e-20	0.0000000000e+00	1.2924424519e-09
2.0892961309e-12	2.6909293777e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3403106128e-10	6.2473749789e-12	2.4563330593e-20	1.1876812497e-17	2.3293037887e-05	2.5000000000e+00	1.6986823866e-06	2.9675431920e-17	9.9269775232e-01	7.0081614758e-03	6.6644679750e-11	4.3556742095e-17	9.1806123376e-16	3.1801502135e-20	0.0000000000e+00	1.3393984623e-09
2.1379620895e-12	2.6908107064e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.3905170652e-10	6.6597381925e-12	2.6730735191e-20	1.1864211545e-17	2.3291934444e-05	2.5000000000e+00	1.6968775588e-06	2.9643881216e-17	9.9265524394e-01	7.0506845724e-03	6.7080006196e-11	4.3615050954e-17	9.4187452663e-16	3.2897256362e-20	0.0000000000e+00	1.3877543050e-09
2.1877616239e-12	2.6906956359e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.4422338470e-10	7.0974562067e-12	2.9078083688e-20	1.1851339793e-17	2.3290864291e-05	2.5000000000e+00	1.6950336868e-06	2.9611647917e-17	9.9261402563e-01	7.0919172472e-03	6.7502122062e-11	4.3674683089e-17	9.6621631485e-16	3.4019941317e-20	0.0000000000e+00	1.4375395684e-09
2.2387211386e-12	2.6905841965e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.4954923519e-10	7.5619690775e-12	3.1619261253e-20	1.1838192036e-17	2.3289827711e-05	2.5000000000e+00	1.6931499997e-06	2.9578718544e-17	9.9257410833e-01	7.1318485540e-03	6.7910915289e-11	4.3735668004e-17	9.9109772339e-16	3.5169984671e-20	0.0000000000e+00	1.4887841200e-09
2.2908676528e-12	2.6904764123e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.5503242470e-10	8.0547916361e-12	3.4369129148e-20	1.1824763003e-17	2.3288824922e-05	2.5000000000e+00	1.6912257148e-06	2.9545079414e-17	9.9253550056e-01	7.1704699747e-03	6.8306298671e-11	4.3798035849e-17	1.0165300841e-15	3.6347823711e-20	0.0000000000e+00	1.5415181127e-09
2.3442288153e-12	2.6903722999e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6067614803e-10	8.5775170196e-12	3.7343585115e-20	1.1811047352e-17	2.3287856078e-05	2.5000000000e+00	1.6892600376e-06	2.9510716636e-17	9.9249820836e-01	7.2077754602e-03	6.8688210282e-11	4.3861817427e-17	1.0425249381e-15	3.7553905869e-20	0.0000000000e+00	1.5957719918e-09
2.3988329190e-12	2.6902718693e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6648362892e-10	9.1318203579e-12	4.0559626828e-20	1.1797039675e-17	2.3286921270e-05	2.5000000000e+00	1.6872521618e-06	2.9475616115e-17	9.9246223528e-01	7.2437614616e-03	6.9056613791e-11	4.3927044211e-17	1.0690940387e-15	3.8788689227e-20	0.0000000000e+00	1.6515765033e-09
2.4547089157e-12	2.6901751234e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.7245812116e-10	9.7194626235e-12	4.4035418541e-20	1.1782734499e-17	2.3286020522e-05	2.5000000000e+00	1.6852012693e-06	2.9439763551e-17	9.9242758235e-01	7.2784269521e-03	6.9411498686e-11	4.3993748360e-17	1.0962493538e-15	4.0052643011e-20	0.0000000000e+00	1.7089627050e-09
2.5118864315e-12	2.6900820580e-04	2.5000000000e+00	0.0000000000e+00	0.0000000000e+00	1.7860290980e-10	1.0342294652e-11	4.7790361022e-20	1.1768126285e-17	2.3285153795e-05	2.5000000000e+00	1.6831065304e-06	2.9403144438e-17	9.9239424807e-01	7.3117734368e-03	6.9752880375e-11	4.4061962727e-17	1.1240030682e-15	4.1346248070e-20	0.0000000000e+00	1.7679619780e-09
