Time            	C4              	C2              	S0              	C2H4O           	E1              	E3              	E2              	CH2O            	A2              	B1              	B2              	B3              	A1              	M1              	M2              	M3              	M4              	M5              	M6              	C3              
4.2657951880e-07	-1.3789898900e-07	-3.5627316726e-01	-2.5829649530e-10	3.5627318204e-01	-1.4872328702e-08	-8.6853964318e-24	-1.5981129888e-10	3.2742966251e-10	7.5700612445e-11	-3.5536645347e-01	-9.0671360614e-04	-6.0826899073e-12	8.5927014647e-15	1.4472644986e-10	1.2278932993e-07	6.2568398938e-13	5.4005737660e-09	3.5627304358e-01	1.0383143843e-08	1.2260986120e-07
4.3651583224e-07	-1.4075921142e-07	-3.5627316601e-01	-2.6193447411e-10	3.5627318078e-01	-1.4868690723e-08	-8.6853964318e-24	-1.5981129772e-10	3.2742966135e-10	7.5700445912e-11	-3.5536645347e-01	-9.0671234492e-04	-6.0818017289e-12	8.5927013819e-15	1.4809292054e-10	1.2564613063e-07	6.4024110971e-13	5.4005739325e-09	3.5627303945e-01	1.0383143723e-08	1.2547012432e-07
4.4668359215e-07	-1.4368605695e-07	-3.5627316471e-01	-2.6193447411e-10	3.5627317949e-01	-1.4868690723e-08	-8.6853964318e-24	-1.5981129653e-10	3.2742966017e-10	7.5698503021e-11	-3.5536645347e-01	-9.0671105432e-04	-6.0825788850e-12	8.5927012726e-15	1.5153780547e-10	1.2856947376e-07	6.5513730398e-13	5.4005758199e-09	3.5627303524e-01	1.0383143600e-08	1.2839701247e-07
4.5708818961e-07	-1.4668107743e-07	-3.5627316339e-01	-2.6193447411e-10	3.5627317817e-01	-1.4868690723e-08	-8.6853964318e-24	-1.5981129532e-10	3.2742965895e-10	7.5699502222e-11	-3.5536645347e-01	-9.0670973366e-04	-6.0815796843e-12	8.5927011698e-15	1.5506293072e-10	1.3156090925e-07	6.7038046980e-13	5.4005747652e-09	3.5627303092e-01	1.0383143474e-08	1.3139207757e-07
4.6773514129e-07	-1.4974949885e-07	-3.5627316204e-01	-2.6557245292e-10	3.5627317682e-01	-1.4868691167e-08	-8.6336976435e-24	-1.5981084999e-10	3.2742965771e-10	7.5700112845e-11	-3.5536669188e-01	-9.0646996366e-04	-6.0834115523e-12	8.5927010384e-15	1.5867016536e-10	1.3462202312e-07	6.8597868889e-13	5.4005741545e-09	3.5627302650e-01	1.0383143345e-08	1.3445690774e-07
4.7863009232e-07	-1.5288567022e-07	-3.5627316066e-01	-2.6557245292e-10	3.5627317543e-01	-1.4868690723e-08	-8.7370952201e-24	-1.5981129281e-10	3.2742965644e-10	7.5701001023e-11	-3.5536645346e-01	-9.0670699934e-04	-6.0815796843e-12	8.5927009083e-15	1.6236142197e-10	1.3775443835e-07	7.0194023137e-13	5.4005731553e-09	3.5627302199e-01	1.0383143213e-08	1.3759312804e-07
4.8977881937e-07	-1.5609489236e-07	-3.5627315925e-01	-2.6921043172e-10	3.5627317402e-01	-1.4865052744e-08	-8.6853964318e-24	-1.5981129151e-10	3.2742965514e-10	7.5701445112e-11	-3.5536645346e-01	-9.0670558422e-04	-6.0831895077e-12	8.5927008202e-15	1.6613865771e-10	1.4095981569e-07	7.1827355982e-13	5.4005726557e-09	3.5627301736e-01	1.0383143079e-08	1.4080240142e-07
5.0118723363e-07	-1.5937159090e-07	-3.5627315779e-01	-2.5102053769e-10	3.5627317257e-01	-1.4875967125e-08	-8.7370952201e-24	-1.5981084609e-10	3.2742965381e-10	7.5700334889e-11	-3.5536645347e-01	-9.0670413614e-04	-6.0816907066e-12	8.5927006935e-15	1.7000387487e-10	1.4423985461e-07	7.3498733389e-13	5.4005737105e-09	3.5627301263e-01	1.0383142941e-08	1.4408642955e-07
5.1286138399e-07	-1.6273569691e-07	-3.5627315631e-01	-2.5829649530e-10	3.5627317109e-01	-1.4872328702e-08	-8.6853964318e-24	-1.5981128881e-10	3.2742965245e-10	7.5701223068e-11	-3.5536645347e-01	-9.0670265434e-04	-6.0823568404e-12	8.5927005901e-15	1.7395912319e-10	1.4759629412e-07	7.5209041505e-13	5.4005727668e-09	3.5627300779e-01	1.0383142800e-08	1.4744695376e-07
5.2480746025e-07	-1.6617080228e-07	-3.5627315479e-01	-2.5102053769e-10	3.5627316957e-01	-1.4875967125e-08	-8.6853964318e-24	-1.5981084333e-10	3.2742965105e-10	7.5700057334e-11	-3.5536669189e-01	-9.0646271943e-04	-6.0819127512e-12	8.5927005025e-15	1.7800649921e-10	1.5103091377e-07	7.6959187109e-13	5.4005738215e-09	3.5627300283e-01	1.0383142655e-08	1.5088575593e-07
5.3703179637e-07	-1.6969692015e-07	-3.5627315325e-01	-2.6557245292e-10	3.5627316802e-01	-1.4868691167e-08	-8.6853964318e-24	-1.5981084190e-10	3.2742964963e-10	7.5697947910e-11	-3.5536645346e-01	-9.0669958637e-04	-6.0821347958e-12	8.5927003801e-15	1.8214814938e-10	1.5454553454e-07	7.8750098103e-13	5.4005758754e-09	3.5627299776e-01	1.0383142508e-08	1.5440465943e-07
5.4954087386e-07	-1.7329045042e-07	-3.5627315166e-01	-2.5465851650e-10	3.5627316643e-01	-1.4872328702e-08	-8.6853964318e-24	-1.5981128453e-10	3.2742964817e-10	7.5699779778e-11	-3.5536669189e-01	-9.0645958001e-04	-6.0834670634e-12	8.5927002611e-15	1.8638626895e-10	1.5814201983e-07	8.0582724003e-13	5.4005739880e-09	3.5627299257e-01	1.0383142356e-08	1.5800553015e-07
5.6234132519e-07	-1.7698240610e-07	-3.5627315003e-01	-2.6557245292e-10	3.5627316481e-01	-1.4868691167e-08	-8.6853964318e-24	-1.5981083895e-10	3.2742964667e-10	7.5700612445e-11	-3.5536645346e-01	-9.0669637382e-04	-6.0824678627e-12	8.5927001128e-15	1.9072310486e-10	1.6182227643e-07	8.2458036439e-13	5.4005730998e-09	3.5627298726e-01	1.0383142202e-08	1.6169027740e-07
5.7543993734e-07	-1.8074927500e-07	-3.5627314837e-01	-2.5829649530e-10	3.5627316315e-01	-1.4872329146e-08	-8.6853964318e-24	-1.5981083742e-10	3.2742964515e-10	7.5702388802e-11	-3.5536645347e-01	-9.0669471120e-04	-6.0828009296e-12	8.5926999903e-15	1.9516095682e-10	1.6558825556e-07	8.4377029652e-13	5.4005713235e-09	3.5627298183e-01	1.0383142043e-08	1.6546085499e-07
5.8884365536e-07	-1.8461124619e-07	-3.5627314667e-01	-2.6557245292e-10	3.5627316145e-01	-1.4868690723e-08	-8.6853964318e-24	-1.5981127995e-10	3.2742964358e-10	7.5702888402e-11	-3.5536645346e-01	-9.0669300986e-04	-6.0830229742e-12	8.5926998515e-15	1.9970217783e-10	1.6944195388e-07	8.6340721084e-13	5.4005706573e-09	3.5627297627e-01	1.0383141881e-08	1.6931926224e-07
6.0255958607e-07	-1.8855217550e-07	-3.5627314492e-01	-2.5102053769e-10	3.5627315970e-01	-1.4875967125e-08	-8.7370952201e-24	-1.5981083426e-10	3.2742964198e-10	7.5699335689e-11	-3.5536645347e-01	-9.0669126889e-04	-6.0827454185e-12	8.5926997139e-15	2.0434917530e-10	1.7338541453e-07	8.8350151832e-13	5.4005742101e-09	3.5627297058e-01	1.0383141715e-08	1.7326754504e-07
6.1659500186e-07	-1.9259962218e-07	-3.5627314315e-01	-2.6557245292e-10	3.5627315792e-01	-1.4868691167e-08	-8.6853964318e-24	-1.5981083262e-10	3.2742964035e-10	7.5701167557e-11	-3.5536645346e-01	-9.0668948737e-04	-6.0824678627e-12	8.5926995501e-15	2.0910441289e-10	1.7742072827e-07	9.0406387261e-13	5.4005721561e-09	3.5627296476e-01	1.0383141546e-08	1.7730779695e-07
6.3095734448e-07	-1.9673390050e-07	-3.5627314133e-01	-2.6921043172e-10	3.5627315610e-01	-1.4865052744e-08	-8.7370952201e-24	-1.5981127504e-10	3.2742963867e-10	7.5700390401e-11	-3.5536621504e-01	-9.0692608293e-04	-6.0819127512e-12	8.5926994447e-15	2.1397041176e-10	1.8155003455e-07	9.2510517541e-13	5.4005729333e-09	3.5627295880e-01	1.0383141372e-08	1.8144216027e-07
6.4565422903e-07	-2.0096447846e-07	-3.5627313946e-01	-2.6557245292e-10	3.5627315423e-01	-1.4868691167e-08	-8.6336976435e-24	-1.5981082923e-10	3.2742963696e-10	7.5700057334e-11	-3.5536645346e-01	-9.0668579886e-04	-6.0840776861e-12	8.5926992769e-15	2.1894975190e-10	1.8577552263e-07	9.4663658261e-13	5.4005731553e-09	3.5627295271e-01	1.0383141194e-08	1.8567282724e-07
6.6069344801e-07	-2.0528996119e-07	-3.5627313755e-01	-2.6193447411e-10	3.5627315233e-01	-1.4868690723e-08	-8.7370952201e-24	-1.5981127157e-10	3.2742963520e-10	7.5702666358e-11	-3.5536645347e-01	-9.0668388992e-04	-6.0823013293e-12	8.5926991174e-15	2.2404507330e-10	1.9009943278e-07	9.6866950947e-13	5.4005704353e-09	3.5627294647e-01	1.0383141013e-08	1.9000204115e-07
6.7608297539e-07	-2.0971628201e-07	-3.5627313559e-01	-2.5465851650e-10	3.5627315037e-01	-1.4872328702e-08	-8.6853964318e-24	-1.5981126977e-10	3.2742963341e-10	7.5700057334e-11	-3.5536645347e-01	-9.0668193652e-04	-6.0824678627e-12	8.5926989621e-15	2.2925907703e-10	1.9452405744e-07	9.9121563736e-13	5.4005729333e-09	3.5627294009e-01	1.0383140827e-08	1.9443209755e-07
