Time            	C4              	C2              	S0              	C2H4O           	E1              	E3              	E2              	CH2O            	A2              	B1              	B2              	B3              	A1              	M1              	M2              	M3              	M4              	M5              	M6              	C3              
1.6218100974e-12	2.5000000000e+00	2.5000000000e+00	2.7596003494e-03	0.0000000000e+00	3.0911841632e-01	2.2801284680e-18	4.3451997403e-05	0.0000000000e+00	8.2096776655e-16	6.8725587169e-01	8.2265964886e-04	1.0946016373e-12	8.9797913813e-19	3.0548170200e-18	2.1331443854e-17	3.5780591869e-23	1.2118851322e-14	6.7870984024e-17	1.1428837039e-27	0.0000000000e+00
1.6595869074e-12	2.5000000000e+00	2.5000000000e+00	2.7288644362e-03	0.0000000000e+00	3.0567551281e-01	2.3239885394e-18	4.4238786264e-05	0.0000000000e+00	8.6037443196e-16	6.9071239989e-01	8.3898407653e-04	1.1402067189e-12	9.1568518467e-19	3.1216553868e-18	2.2412241639e-17	3.8334279029e-23	1.2953828081e-14	7.4346005363e-17	1.2825294157e-27	0.0000000000e+00
1.6982436525e-12	2.5000000000e+00	2.5000000000e+00	2.6977669485e-03	0.0000000000e+00	3.0219210727e-01	2.3683472820e-18	4.5034513503e-05	0.0000000000e+00	9.0162402263e-16	6.9420953900e-01	8.5555225748e-04	1.1875428591e-12	9.3359260436e-19	3.1892980151e-18	2.3542027456e-17	4.1052696856e-23	1.3844360232e-14	8.1427851817e-17	1.4390477700e-27	0.0000000000e+00
1.7378008287e-12	2.5000000000e+00	2.5000000000e+00	2.6663119351e-03	0.0000000000e+00	2.9866865328e-01	2.4131979107e-18	4.5839056993e-05	0.0000000000e+00	9.4479993524e-16	6.9774683163e-01	8.7236409636e-04	1.2366646343e-12	9.5169866174e-19	3.2577371354e-18	2.4722771089e-17	4.3945198102e-23	1.4793984456e-14	8.9172284430e-17	1.6144537924e-27	0.0000000000e+00
1.7782794100e-12	2.5000000000e+00	2.5000000000e+00	2.6345038772e-03	0.0000000000e+00	2.9510565277e-01	2.4585329848e-18	4.6652282826e-05	0.0000000000e+00	9.8998913054e-16	7.0132377179e-01	8.8941928136e-04	1.2876275749e-12	9.7000035678e-19	3.3269640824e-18	2.5956509894e-17	4.7021576633e-23	1.5806448956e-14	9.7640070926e-17	1.8110001494e-27	0.0000000000e+00
1.8197008586e-12	2.5000000000e+00	2.5000000000e+00	2.6023477000e-03	0.0000000000e+00	2.9150365744e-01	2.5043443889e-18	4.7474044981e-05	0.0000000000e+00	1.0372822683e-15	7.0493980354e-01	9.0671727372e-04	1.3404881230e-12	9.8849441732e-19	3.3969692686e-18	2.7245350452e-17	5.0292081895e-23	1.6885724904e-14	1.0689742248e-16	2.0312047826e-27	0.0000000000e+00
1.8620871367e-12	2.5000000000e+00	2.5000000000e+00	2.5698487851e-03	0.0000000000e+00	2.8786327014e-01	2.5506233149e-18	4.8304184987e-05	0.0000000000e+00	1.0867738460e-15	7.0859431959e-01	9.2425729706e-04	1.3953035849e-12	1.0071772916e-18	3.4677421576e-18	2.8591470227e-17	5.3767433408e-23	1.8036018396e-14	1.1701646719e-16	2.2778817037e-27	0.0000000000e+00
1.9054607180e-12	2.5000000000e+00	2.5000000000e+00	2.5370129830e-03	0.0000000000e+00	2.8418514618e-01	2.5973602435e-18	4.9142531604e-05	0.0000000000e+00	1.1385623409e-15	7.1228665998e-01	9.4203832660e-04	1.4521320778e-12	1.0260451411e-18	3.5392712397e-18	2.9997119224e-17	5.7458835224e-23	1.9261782940e-14	1.2807576315e-16	2.5541753053e-27	0.0000000000e+00
1.9498445998e-12	2.5000000000e+00	2.5000000000e+00	2.5038466240e-03	0.0000000000e+00	2.8046999468e-01	2.6445449270e-18	4.9988900502e-05	0.0000000000e+00	1.1927503560e-15	7.1601611072e-01	9.6005907823e-04	1.5110324693e-12	1.0450938331e-18	3.6115440067e-18	3.1464621634e-17	6.1377990333e-23	2.0567732475e-14	1.4016085425e-16	2.8635985808e-27	0.0000000000e+00
1.9952623150e-12	2.5000000000e+00	2.5000000000e+00	2.4703565300e-03	0.0000000000e+00	2.7671857979e-01	2.6921663719e-18	5.0843093958e-05	0.0000000000e+00	1.2494447692e-15	7.1978190259e-01	9.7831799744e-04	1.5720643114e-12	1.0643189343e-18	3.6845469283e-18	3.2996377471e-17	6.5537114950e-23	2.1958854930e-14	1.5336487218e-16	3.2100756904e-27	0.0000000000e+00
2.0417379447e-12	2.5000000000e+00	2.5000000000e+00	2.4365500252e-03	0.0000000000e+00	2.7293172193e-01	2.7402128226e-18	5.1704900558e-05	0.0000000000e+00	1.3087568861e-15	7.2358320989e-01	9.9681324829e-04	1.6352877659e-12	1.0837157037e-18	3.7582654294e-18	3.4594864198e-17	6.9948952660e-23	2.3440426351e-14	1.6778918798e-16	3.5979893551e-27	0.0000000000e+00
2.0892961309e-12	2.5000000000e+00	2.5000000000e+00	2.4024349464e-03	0.0000000000e+00	2.6911029896e-01	2.7886717456e-18	5.2574094915e-05	0.0000000000e+00	1.3708025961e-15	7.2741914930e-01	1.0155427022e-03	1.7007635243e-12	1.1032790864e-18	3.8326838682e-18	3.6262638332e-17	7.4626788340e-23	2.5018025588e-14	1.8354411743e-16	4.0322336171e-27	0.0000000000e+00
2.1379620895e-12	2.5000000000e+00	2.5000000000e+00	2.3680196531e-03	0.0000000000e+00	2.6525524726e-01	2.8375298145e-18	5.3450437398e-05	0.0000000000e+00	1.4357025317e-15	7.3128877872e-01	1.0345039269e-03	1.7685527178e-12	1.1230037078e-18	3.9077855159e-18	3.8002337026e-17	7.9584461854e-23	2.6697549555e-14	2.0074968389e-16	4.5182725604e-27	0.0000000000e+00
2.1877616239e-12	2.5000000000e+00	2.5000000000e+00	2.3333130365e-03	0.0000000000e+00	2.6136756279e-01	2.8867728959e-18	5.4333673881e-05	0.0000000000e+00	1.5035822311e-15	7.3519109633e-01	1.0536941750e-03	1.8387168211e-12	1.1428838675e-18	3.9835525372e-18	3.9816679631e-17	8.4836381397e-23	2.8485229071e-14	2.1953644360e-16	5.0622056462e-27	0.0000000000e+00
2.2387211386e-12	2.5000000000e+00	2.5000000000e+00	2.2983245282e-03	0.0000000000e+00	2.5744830204e-01	2.9363860363e-18	5.5223535505e-05	0.0000000000e+00	1.5745723032e-15	7.3912503952e-01	1.0731103735e-03	1.9113175466e-12	1.1629135343e-18	4.0599659726e-18	4.1708469220e-17	9.0397536517e-23	3.0387645279e-14	2.4004637764e-16	5.6708403990e-27	0.0000000000e+00
2.2908676528e-12	2.5000000000e+00	2.5000000000e+00	2.2630641082e-03	0.0000000000e+00	2.5349858291e-01	2.9863534499e-18	5.6119738464e-05	0.0000000000e+00	1.6488085960e-15	7.4308948413e-01	1.0927491121e-03	1.9864167300e-12	1.1830863411e-18	4.1370057221e-18	4.3680594085e-17	9.6283510684e-23	3.2411746660e-14	2.6243385603e-16	6.3517732430e-27	0.0000000000e+00
2.3442288153e-12	2.5000000000e+00	2.5000000000e+00	2.2275423116e-03	0.0000000000e+00	2.4951958552e-01	3.0366585080e-18	5.7021983807e-05	0.0000000000e+00	1.7264323672e-15	7.4708324355e-01	1.1126066331e-03	2.0640762071e-12	1.2033955809e-18	4.2146505307e-18	4.5736029187e-17	1.0251049339e-22	3.4564866620e-14	2.8686667916e-16	7.1134793869e-27	0.0000000000e+00
2.3988329190e-12	2.5000000000e+00	2.5000000000e+00	2.1917702351e-03	0.0000000000e+00	2.4551255287e-01	3.0872837292e-18	5.7929957266e-05	0.0000000000e+00	1.8075904570e-15	7.5110506812e-01	1.1326788202e-03	2.1443576810e-12	1.2238342023e-18	4.2928779759e-18	4.7877837566e-17	1.0909529171e-22	3.6854741668e-14	3.1352720236e-16	7.9654127408e-27	0.0000000000e+00
2.4547089157e-12	2.5000000000e+00	2.5000000000e+00	2.1557595422e-03	0.0000000000e+00	2.4147879142e-01	3.1382107713e-18	5.8843329111e-05	0.0000000000e+00	1.8924354635e-15	7.5515364451e-01	1.1529611885e-03	2.2273225794e-12	1.2443948069e-18	4.3716644567e-18	5.0109171701e-17	1.1605534123e-22	3.9289530171e-14	3.4261354985e-16	8.9181169603e-27	0.0000000000e+00
2.5118864315e-12	2.5000000000e+00	2.5000000000e+00	2.1195224670e-03	0.0000000000e+00	2.3741967163e-01	3.1894204245e-18	5.9761754027e-05	0.0000000000e+00	1.9811259190e-15	7.5922759527e-01	1.1734488742e-03	2.3130319019e-12	1.2650696463e-18	4.4509851859e-18	5.2433274812e-17	1.2340871634e-22	4.1877831666e-14	3.7434092450e-16	9.9833488239e-27	0.0000000000e+00
