Time            	A2              	E1              	E2              	E3              	B1              	M3              	B3              	M1              	M2              	M4              	B2              	C4              	M5              	M6              	CH2O            	C3              	C2              	C2H4O           	S0              	A1              
1.8620871367e-07	1.5512123325e-10	4.4321624182e-07	6.6063996524e-09	3.2519088959e-21	9.9608535449e-01	4.4021403614e-16	4.4964542338e-11	6.8797786166e-14	3.5874285556e-11	9.6167441094e-10	3.9097708260e-03	2.5000000000e+00	4.3348205502e-06	3.4056156924e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839182447e-08	1.0705801648e-17
1.9054607180e-07	1.5512212031e-10	4.4321619705e-07	6.6063989851e-09	3.2519085674e-21	9.9608525389e-01	4.6097678053e-16	4.4964537797e-11	7.2041736540e-14	3.7566292525e-11	9.6167993366e-10	3.9097704311e-03	2.5000000000e+00	4.4358179703e-06	3.4850534126e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839173474e-08	1.0955489755e-17
1.9498445998e-07	1.5512302804e-10	4.4321615124e-07	6.6063983024e-09	3.2519082313e-21	9.9608515094e-01	4.8271849702e-16	4.4964533149e-11	7.5438619415e-14	3.9338078151e-11	9.6168558503e-10	3.9097700270e-03	2.5000000000e+00	4.5391678715e-06	3.5663414349e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839164293e-08	1.1210993725e-17
1.9952623150e-07	1.5512395691e-10	4.4321610437e-07	6.6063976037e-09	3.2519078874e-21	9.9608504560e-01	5.0548532518e-16	4.4964528394e-11	7.8995642105e-14	4.1193402449e-11	9.6169136803e-10	3.9097696135e-03	2.5000000000e+00	4.6449250477e-06	3.6495228564e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839154897e-08	1.1472449022e-17
2.0417379447e-07	1.5512490742e-10	4.4321605640e-07	6.6063968887e-09	3.2519075355e-21	9.9608493780e-01	5.2932557852e-16	4.4964523528e-11	8.2720351494e-14	4.3136202591e-11	9.6169728574e-10	3.9097691904e-03	2.5000000000e+00	4.7531455691e-06	3.7346417781e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839145283e-08	1.1739994264e-17
2.0892961309e-07	1.5512588007e-10	4.4321600732e-07	6.6063961571e-09	3.2519071754e-21	9.9608482749e-01	5.5428984685e-16	4.4964518548e-11	8.6620650032e-14	4.5170601251e-11	9.6170334130e-10	3.9097687574e-03	2.5000000000e+00	4.8638868117e-06	3.8217433282e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839135444e-08	1.2013771298e-17
2.1379620895e-07	1.5512687537e-10	4.4321595709e-07	6.6063954084e-09	3.2519068068e-21	9.9608471461e-01	5.8043110355e-16	4.4964513453e-11	9.0704812480e-14	4.7300915345e-11	9.6170953791e-10	3.9097683144e-03	2.5000000000e+00	4.9772074879e-06	3.9108736858e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839125377e-08	1.2293925275e-17
2.1877616239e-07	1.5512789386e-10	4.4321590570e-07	6.6063946423e-09	3.2519064297e-21	9.9608459910e-01	6.0780481779e-16	4.4964508238e-11	9.4981503449e-14	4.9531665175e-11	9.6171587886e-10	3.9097678610e-03	2.5000000000e+00	5.0931676776e-06	4.0020801056e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839115075e-08	1.2580604725e-17
2.2387211386e-07	1.5512893607e-10	4.4321585310e-07	6.6063938584e-09	3.2519060439e-21	9.9608448090e-01	6.3646907212e-16	4.4964502903e-11	9.9459795759e-14	5.1867584014e-11	9.6172236752e-10	3.9097673970e-03	2.5000000000e+00	5.2118288598e-06	4.0954109430e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839104533e-08	1.2873961639e-17
2.2908676528e-07	1.5513000256e-10	4.4321579928e-07	6.6063930562e-09	3.2519056490e-21	9.9608435995e-01	6.6648468551e-16	4.4964497443e-11	1.0414918967e-13	5.4313628134e-11	9.6172900732e-10	3.9097669223e-03	2.5000000000e+00	5.3332539456e-06	4.1909156795e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839093745e-08	1.3174151549e-17
2.3442288153e-07	1.5513109389e-10	4.4321574421e-07	6.6063922353e-09	3.2519052449e-21	9.9608423618e-01	6.9791534009e-16	4.4964491856e-11	1.0905963265e-13	5.6874987126e-11	9.6173580179e-10	3.9097664365e-03	2.5000000000e+00	5.4575073113e-06	4.2886449490e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839082706e-08	1.3481333607e-17
2.3988329190e-07	1.5513221065e-10	4.4321568786e-07	6.6063913953e-09	3.2519048314e-21	9.9608410952e-01	7.3082772169e-16	4.4964486138e-11	1.1420154137e-13	5.9557095365e-11	9.6174275453e-10	3.9097659393e-03	2.5000000000e+00	5.5846548325e-06	4.3886505650e-13	0.0000000000e+00	0.0000000000e+00	2.5000000000e+00	0.0000000000e+00	8.8839071410e-08	1.3795670673e-17
