Time            	A2              	E1              	E2              	E3              	B1              	M3              	B3              	M1              	M2              	M4              	B2              	C4              	M5              	M6              	CH2O            	C3              	C2              	C2H4O           	S0              	A1              
2.1379620895e-12	1.4860143344e+00	-1.1001799055e+09	-2.3059408414e+05	-1.0487805077e-07	4.9844516953e+08	1.7880976781e-09	1.1144661894e+01	2.1491566912e-07	1.7101962473e-04	8.3841547073e+00	7.1773817609e+08	-1.2161833668e+09	1.7237426723e-01	3.7230528132e-11	1.7119591290e-04	6.0081611195e-13	1.1004104910e+09	1.0042543309e+01	-1.1577286725e+08	-4.0416157691e-08
2.1877616239e-12	1.5228197027e+00	-9.2709221117e+08	-2.3942569191e+05	-1.1060112179e-07	3.2961524853e+08	1.8059322613e-09	1.1015563417e+01	2.0151199576e-07	1.7095800858e-04	8.6228582844e+00	6.9527507206e+08	-1.0248903419e+09	1.8263101195e-01	4.0519695518e-11	1.7111837726e-04	6.2933888086e-13	9.2733162805e+08	1.0328308999e+01	-9.7558705073e+07	-4.2949836514e-08
2.2387211386e-12	1.5598918118e+00	-7.7812712445e+08	-2.4699871871e+05	-1.1551291741e-07	1.8725865472e+08	1.8230736231e-09	1.0877921630e+01	1.8996378075e-07	1.7088846745e-04	8.8638959985e+00	6.7299843179e+08	-8.6025710801e+08	1.9342275222e-01	4.4084777363e-11	1.7103512998e-04	6.5898627483e-13	7.7837411411e+08	1.0617210563e+01	-8.1882984846e+07	-4.5124935170e-08
2.2908676528e-12	1.5971964141e+00	-6.5043850728e+08	-2.5346111609e+05	-1.1970888915e-07	6.8212284367e+07	1.8395171438e-09	1.0731898385e+01	1.8005186470e-07	1.7081161296e-04	9.1070423985e+00	6.5092586750e+08	-7.1913817351e+08	2.0477165275e-01	4.7947398765e-11	1.7094652133e-04	6.8980149913e-13	6.5069195908e+08	1.0909010465e+01	-6.8446205115e+07	-4.6983654022e-08
2.3442288153e-12	1.6346976243e+00	-5.4143800139e+08	-2.5894742586e+05	-1.2327583861e-07	-3.0401716833e+07	1.8552599250e-09	1.0577680346e+01	1.7157693157e-07	1.7072799565e-04	9.3520598878e+00	6.2907463467e+08	-5.9867293962e+08	2.1670038664e-01	5.2130729245e-11	1.7085286414e-04	7.2183060503e-13	5.4169693925e+08	1.1203457899e+01	-5.6975990800e+07	-4.8564369398e-08
2.3988329190e-12	1.6723579649e+00	-4.4878237706e+08	-2.6357943810e+05	-1.2629234198e-07	-1.1118991212e+08	1.8703007664e-09	1.0415478986e+01	1.6435853553e-07	1.7063810796e-04	9.5986990081e+00	6.0746160860e+08	-4.9627171840e+08	2.2923211874e-01	5.6659579005e-11	1.7075443566e-04	7.5512278886e-13	4.4904594667e+08	1.1500289092e+01	-4.7225761900e+07	-4.9901821237e-08
2.4547089157e-12	1.7101384216e+00	-3.7036012009e+08	-2.6746688873e+05	-1.2882919999e-07	-1.7650237379e+08	1.8846401351e-09	1.0245530478e+01	1.5823406893e-07	1.7054238726e-04	9.8466987902e+00	5.8610326075e+08	-4.0960090901e+08	2.4239048679e-01	6.1560499974e-11	1.7065147938e-04	7.8973072032e-13	3.7062757689e+08	1.1799227699e+01	-3.8973322030e+07	-5.1027312046e-08
2.5118864315e-12	1.7479985073e+00	-3.0427746159e+08	-2.7070818618e+05	-1.3094990670e-07	-2.2844809885e+08	1.8982801276e-09	1.0068095458e+01	1.5305768709e-07	1.7044121918e-04	1.0095787173e+01	5.6501563479e+08	-3.3656755810e+08	2.5619958044e-01	6.6861891776e-11	1.7054420698e-04	8.2571090241e-13	3.0454815943e+08	1.2099985261e+01	-3.2019388324e+07	-5.1968914112e-08
2.5703957828e-12	1.7858963372e+00	-2.4884404873e+08	-2.7339115662e+05	-1.3271113018e-07	-2.6891082118e+08	1.9112244254e-09	9.8834586735e+00	1.4869920532e-07	1.7033494083e-04	1.0345681495e+01	5.4421432234e+08	-2.7530352344e+08	2.7068391795e-01	7.2594112773e-11	1.7043280035e-04	8.6312406557e-13	2.4911742927e+08	1.2402261750e+01	-2.6186083556e+07	-5.2751682046e-08
2.6302679919e-12	1.8237887122e+00	-2.0255844207e+08	-2.7559379831e+05	-1.3416319916e-07	-2.9956501487e+08	1.9234782445e-09	9.6919285043e+00	1.4504298247e-07	1.7022384422e-04	1.0596089054e+01	5.2371443836e+08	-2.2414944588e+08	2.8586842074e-01	7.8789596310e-11	1.7031741362e-04	9.0203559878e-13	2.0283402498e+08	1.2705746187e+01	-2.1315410014e+07	-5.3397867897e-08
