Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
1.6218100974e-12	8.3593126473e+09	1.2457663254e-07	1.8279327824e-08	-4.6596075039e+06	1.0973800023e+07	-8.3702864473e+09	1.7568449829e-20	1.1779409454e-06	3.2908942711e-05	8.1846974623e-07	1.0005677415e-07	7.3202882893e-07	4.4616249053e-13	3.1606425133e-05	8.2103327975e+09	-8.3639722548e+09	1.5363945730e+08	6.8046527947e-02	2.6671880119e-19	6.8161143317e-08
1.6595869074e-12	8.3538782700e+09	1.3318336629e-07	1.8265757226e-08	-4.6565775663e+06	1.0965348452e+07	-8.3648436185e+09	1.8993953911e-20	1.1965040836e-06	3.4281040239e-05	8.3978578956e-07	9.9981985335e-08	7.5339059779e-07	4.6880766130e-13	3.2951352789e-05	8.2066099783e+09	-8.3585348476e+09	1.5192486918e+08	6.9043297318e-02	2.9222018962e-19	6.8128965741e-08
1.6982436525e-12	8.3483209680e+09	1.4236460612e-07	1.8251783730e-08	-4.6534790921e+06	1.0956705866e+07	-8.3592776738e+09	2.0526382333e-20	1.2151209086e-06	3.5705520210e-05	8.6158178807e-07	9.9905075957e-08	7.7523451601e-07	4.9240091783e-13	3.4348034695e-05	8.2027825912e+09	-8.3529744471e+09	1.5019185581e+08	7.0040454425e-02	3.2011623659e-19	6.8094995924e-08
1.7378008287e-12	8.3426380477e+09	1.5215712986e-07	1.8237407418e-08	-4.6503105793e+06	1.0947868089e+07	-8.3535859158e+09	2.2173085429e-20	1.2337807290e-06	3.7184079277e-05	8.8386809267e-07	9.9826039421e-08	7.9757090758e-07	5.1697215098e-13	3.5798141418e-05	8.1988476370e+09	-8.3472883583e+09	1.4844072116e+08	7.1037297760e-02	3.5062748296e-19	6.8059260705e-08
1.7782794100e-12	8.3368267609e+09	1.6259994176e-07	1.8222636920e-08	-4.6470704959e+06	1.0938830858e+07	-8.3477655917e+09	2.3941871770e-20	1.2524723778e-06	3.8718449345e-05	9.0665522113e-07	9.9744907231e-08	8.2041010703e-07	5.4255182363e-13	3.7303377026e-05	8.1948020367e+09	-8.3414738314e+09	1.4667179457e+08	7.2033096739e-02	3.8399432596e-19	6.8021934627e-08
1.8197008586e-12	8.3308843033e+09	1.7373439582e-07	1.8207478785e-08	-4.6437573127e+06	1.0929589823e+07	-8.3418138932e+09	2.5841033972e-20	1.2711842074e-06	4.0310396960e-05	9.2995390850e-07	9.9661701427e-08	8.4376269472e-07	5.6917091197e-13	3.8865478357e-05	8.1906426293e+09	-8.3355280607e+09	1.4488543130e+08	7.3027091450e-02	4.2047876883e-19	6.7983165826e-08
1.8620871367e-12	8.3248078142e+09	1.8560432446e-07	1.8191923654e-08	-4.6403693197e+06	1.0920140549e+07	-8.3357279547e+09	2.7879375349e-20	1.2899040854e-06	4.1961722607e-05	9.5377517188e-07	9.9576372747e-08	8.6763978509e-07	5.9686083736e-13	4.0486214197e-05	8.1863661702e+09	-8.3294481835e+09	1.4308201318e+08	7.4018492431e-02	4.6036632842e-19	6.7942866273e-08
1.9054607180e-12	8.3185943746e+09	1.9825617704e-07	1.8175981094e-08	-4.6369050277e+06	1.0910478509e+07	-8.3295048531e+09	3.0066237935e-20	1.3086193911e-06	4.3674259704e-05	9.7813015830e-07	9.9488956452e-08	8.9205230208e-07	6.2565360099e-13	4.2167384136e-05	8.1819693305e+09	-8.3232312797e+09	1.4126194908e+08	7.5006480625e-02	5.0396804810e-19	6.7901249477e-08
1.9498445998e-12	8.3122410075e+09	2.1173916001e-07	1.8159647094e-08	-4.6333627104e+06	1.0900599089e+07	-8.3231416066e+09	3.2411532040e-20	1.3273170148e-06	4.5449873684e-05	1.0030302927e-06	9.9399426904e-08	9.1701166670e-07	6.5558163113e-13	4.3910817509e-05	8.1774486946e+09	-8.3168743702e+09	1.3942567549e+08	7.5990207254e-02	5.5162275323e-19	6.7858323339e-08
1.9952623150e-12	8.3057446759e+09	2.2610538686e-07	1.8142919718e-08	-4.6297406777e+06	1.0890497580e+07	-8.3166351735e+09	3.4925766912e-20	1.3459833554e-06	4.7290460774e-05	1.0284872113e-06	9.9307767590e-08	9.4252946998e-07	6.8667783584e-13	4.5718372032e-05	8.1728007595e+09	-8.3103744166e+09	1.3757365701e+08	7.6968793860e-02	6.0369944536e-19	6.7814134952e-08
2.0417379447e-12	8.2991022825e+09	2.4141003362e-07	1.8125795083e-08	-4.6260372127e+06	1.0880169181e+07	-8.3099824516e+09	3.7620082956e-20	1.3646043211e-06	4.9197946685e-05	1.0545127826e-06	9.9213953141e-08	9.6861756118e-07	7.1897556995e-13	4.7591932331e-05	8.1680219328e+09	-8.3037283197e+09	1.3570638678e+08	7.7941332386e-02	6.6059991729e-19	6.7768707360e-08
2.0892961309e-12	8.2923106683e+09	2.5771150167e-07	1.8108268865e-08	-4.6222505476e+06	1.0869608995e+07	-8.3031802773e+09	4.0506285420e-20	1.3831653309e-06	5.1174285126e-05	1.0811191036e-06	9.9117956060e-08	9.9528802018e-07	7.5250862466e-13	4.9533408294e-05	8.1631085318e+09	-8.2969329188e+09	1.3382438691e+08	7.8906885337e-02	7.2276158020e-19	6.7722062065e-08
2.1379620895e-12	8.2853666121e+09	2.7507158775e-07	1.8090335888e-08	-4.6183788898e+06	1.0858812032e+07	-8.2962254242e+09	4.3596879689e-20	1.4016513170e-06	5.3221456140e-05	1.1083185050e-06	9.9019744871e-08	1.0225531697e-06	7.8731120742e-13	5.1544733235e-05	8.1580567820e+09	-8.2899849910e+09	1.3192820888e+08	7.9864486038e-02	7.9066052566e-19	6.7674212060e-08
2.1877616239e-12	8.2782668293e+09	2.9355566120e-07	1.8071990179e-08	-4.6144204075e+06	1.0847773201e+07	-8.2891146025e+09	4.6905108086e-20	1.4200467293e-06	5.5341464280e-05	1.1361235537e-06	9.8919284368e-08	1.0504255776e-06	8.2341792371e-13	5.3627861889e-05	8.1528628158e+09	-8.2828812497e+09	1.3001843385e+08	8.0813138972e-02	8.6481484298e-19	6.7625162443e-08
2.2387211386e-12	8.2710079709e+09	3.1323284884e-07	1.8053225237e-08	-4.6103732318e+06	1.0836487313e+07	-8.2818444582e+09	5.0444988347e-20	1.4383355403e-06	5.7536336594e-05	1.1645470546e-06	9.8816536832e-08	1.0789180541e-06	8.6086375856e-13	5.5784768205e-05	8.1475226711e+09	-8.2756183441e+09	1.2809567291e+08	8.1751820216e-02	9.4578820881e-19	6.7574914333e-08
2.2908676528e-12	8.2635866225e+09	3.3417622771e-07	1.8034033884e-08	-4.6062354599e+06	1.0824949079e+07	-8.2744115716e+09	5.4231353879e-20	1.4565012533e-06	5.9808120411e-05	1.1936020544e-06	9.8711461330e-08	1.1080436588e-06	8.9968405498e-13	5.8017442930e-05	8.1420322905e+09	-8.2681928580e+09	1.2616056740e+08	8.2679477978e-02	1.0341937699e-18	6.7523462026e-08
2.3442288153e-12	8.2559993039e+09	3.5646302548e-07	1.8014408589e-08	-4.6020051524e+06	1.0813153108e+07	-8.2668124570e+09	5.8279895690e-20	1.4745269100e-06	6.2158880937e-05	1.2233018430e-06	9.8604015198e-08	1.1378156965e-06	9.3991449443e-13	6.0327891002e-05	8.1363875200e+09	-8.2606013090e+09	1.2421378895e+08	8.3595033246e-02	1.1306983456e-18	6.7470798020e-08
2.3988329190e-12	8.2482424673e+09	3.8017482930e-07	1.7994341144e-08	-4.5976803280e+06	1.0801093904e+07	-8.2590435612e+09	6.2607206302e-20	1.4923951023e-06	6.4590698635e-05	1.2536599578e-06	9.8494152552e-08	1.1682477276e-06	9.8159107263e-13	6.2718128704e-05	8.1305841078e+09	-8.2528401476e+09	1.2225603971e+08	8.4497380541e-02	1.2360269686e-18	6.7416907469e-08
2.4547089157e-12	8.2403124970e+09	4.0539780232e-07	1.7973823326e-08	-4.5932589766e+06	1.0788765869e+07	-8.2511012629e+09	6.7230825339e-20	1.5100879837e-06	6.7105666403e-05	1.2846901833e-06	9.8381827291e-08	1.1993535564e-06	1.0247500809e-12	6.5190180617e-05	8.1246177036e+09	-8.2449057560e+09	1.2028805230e+08	8.5385388791e-02	1.3509677988e-18	6.7361778752e-08
2.5118864315e-12	8.2322057083e+09	4.3222290938e-07	1.7952846070e-08	-4.5887390374e+06	1.0776163297e+07	-8.2429818716e+09	7.2169287448e-20	1.5275872844e-06	6.9705886506e-05	1.3164065579e-06	9.8266989344e-08	1.2311472526e-06	1.0694280776e-12	6.7746076312e-05	8.1184838574e+09	-8.2367944473e+09	1.1831058983e+08	8.6257902335e-02	1.4763774255e-18	6.7305389815e-08
2.5703957828e-12	8.2239183464e+09	4.6074615019e-07	1.7931400351e-08	-4.5841184195e+06	1.0763280375e+07	-8.2346816267e+09	7.7442171814e-20	1.5448743273e-06	7.2393467318e-05	1.3488233727e-06	9.8149588661e-08	1.2636431342e-06	1.1156618701e-12	7.0387846841e-05	8.1121780189e+09	-8.2285024648e+09	1.1632444575e+08	8.7113742038e-02	1.6131866052e-18	6.7247722460e-08
2.6302679919e-12	8.2154465857e+09	4.9106880198e-07	1.7909476754e-08	-4.5793949935e+06	1.0750111181e+07	-8.2261966969e+09	8.3070154206e-20	1.5619300467e-06	7.5170519789e-05	1.3819551756e-06	9.8029573257e-08	1.2968557802e-06	1.1634884871e-12	7.3117520941e-05	8.1056955369e+09	-8.2200259807e+09	1.1433044372e+08	8.7951706561e-02	1.7624064475e-18	6.7188755144e-08
2.6915348039e-12	8.2067865289e+09	5.2329767021e-07	1.7887065481e-08	-4.5745665810e+06	1.0736649682e+07	-8.2175231786e+09	8.9075060940e-20	1.5787350086e-06	7.8039153705e-05	1.4158167741e-06	9.7906889246e-08	1.3308000327e-06	1.2129451555e-12	7.5937121026e-05	8.0990316581e+09	-8.2113610955e+09	1.1232943728e+08	8.8770573754e-02	1.9251351009e-18	6.7128462990e-08
2.7542287033e-12	8.1979342059e+09	5.5754534796e-07	1.7864156599e-08	-4.5696309716e+06	1.0722889735e+07	-8.2086570956e+09	9.5479925115e-20	1.5952694339e-06	8.1001473698e-05	1.4504232367e-06	9.7781481958e-08	1.3654909941e-06	1.2640692772e-12	7.8848658916e-05	8.0921815272e+09	-8.2025038369e+09	1.1032230953e+08	8.9569102187e-02	2.1025649666e-18	6.7066821890e-08
2.8183829313e-12	8.1888855730e+09	5.9393048451e-07	1.7840739851e-08	-4.5645859093e+06	1.0708825083e+07	-8.1995943980e+09	1.0230904537e-19	1.6115132235e-06	8.4059574991e-05	1.4857898957e-06	9.7653295087e-08	1.4009440337e-06	1.3168984033e-12	8.1854131283e-05	8.0851401861e+09	-8.1934501589e+09	1.0830997267e+08	9.0346032847e-02	2.2959904753e-18	6.7003805235e-08
2.8840315031e-12	8.1796365120e+09	6.3257806256e-07	1.7816804777e-08	-4.5594290993e+06	1.0694449354e+07	-8.1903309614e+09	1.0958804702e-19	1.6274459862e-06	8.7215538894e-05	1.5219323493e-06	9.7522271224e-08	1.4371747871e-06	1.3714702097e-12	8.4955514845e-05	8.0779025736e+09	-8.1841959411e+09	1.0629336745e+08	9.1100090986e-02	2.5068164746e-18	6.6939385931e-08
2.9512092267e-12	8.1701828297e+09	6.7361968359e-07	1.7792340681e-08	-4.5541582024e+06	1.0679756063e+07	-8.1808625857e+09	1.1734394546e-19	1.6430470684e-06	9.0471428071e-05	1.5588664637e-06	9.7388351712e-08	1.4741991595e-06	1.4278224740e-12	8.8154761319e-05	8.0704635253e+09	-8.1747369879e+09	1.0427346252e+08	9.1829988100e-02	2.7365672769e-18	6.6873535781e-08
3.0199517204e-12	8.1605202564e+09	7.1719386234e-07	1.7767336642e-08	-4.5487708392e+06	1.0664738607e+07	-8.1711849950e+09	1.2560521247e-19	1.6582955870e-06	9.3829281531e-05	1.5966083752e-06	9.7251476700e-08	1.5120333268e-06	1.4859930522e-12	9.1453792082e-05	8.0628177734e+09	-8.1650690272e+09	1.0225125368e+08	9.2534424088e-02	2.9868964030e-18	6.6806225736e-08
3.0902954325e-12	8.1506444455e+09	7.6344632984e-07	1.7741781526e-08	-4.5432645962e+06	1.0649390264e+07	-8.1612938358e+09	1.3440184500e-19	1.6731704645e-06	9.7291109363e-05	1.6351744915e-06	9.7111585177e-08	1.5506937380e-06	1.5460198548e-12	9.4854492569e-05	8.0549599470e+09	-8.1551877101e+09	1.0022776303e+08	9.3212089568e-02	3.2595970770e-18	6.6737425984e-08
3.1622776602e-12	8.1405509730e+09	8.1253034469e-07	1.7715663980e-08	-4.5376369714e+06	1.0633704194e+07	-8.1511846772e+09	1.4376543691e-19	1.6876504667e-06	1.0085888722e-04	1.6745814942e-06	9.6968614960e-08	1.5901971164e-06	1.6079408248e-12	9.8358706405e-05	8.0468845719e+09	-8.1450886099e+09	9.8204037971e+07	9.3861668357e-02	3.5566135278e-18	6.6667105857e-08
3.2359365693e-12	8.1302353358e+09	8.6460701253e-07	1.7688972451e-08	-4.5318855025e+06	1.0617673437e+07	-8.1408530092e+09	1.5372925338e-19	1.7017142432e-06	1.0453455054e-04	1.7148463396e-06	9.6822502778e-08	1.6305604611e-06	1.6717939170e-12	1.0196822929e-04	8.0385860710e+09	-8.1347672213e+09	9.6181150164e+07	9.4481840109e-02	3.8800531540e-18	6.6595234343e-08
