Time            	C2              	M5              	A1              	S0              	E2              	E1              	C3              	A2              	C2H4O           	CH2O            	E3              	M2              	M3              	M4              	B1              	C4              	B2              	B3              	M6              	M1              
1.6218100974e-12	2.5000000000e+00	5.0906100141e-20	2.5896130046e-20	2.7067871536e-04	1.7911104302e-05	4.8623376982e-01	0.0000000000e+00	1.0420469751e-18	0.0000000000e+00	0.0000000000e+00	1.4507937571e-19	4.8289474226e-19	2.1297814605e-25	1.7648983432e-17	5.1316045281e-01	2.5000000000e+00	3.1718755135e-04	6.2107091437e-14	8.6171486119e-32	8.7897364713e-20
1.6595869074e-12	2.5000000000e+00	5.5773646523e-20	2.6586408814e-20	2.7050274749e-04	1.8325499807e-05	4.8591766991e-01	0.0000000000e+00	1.0868976148e-18	0.0000000000e+00	0.0000000000e+00	1.4885779058e-19	5.1095199042e-19	2.3025917631e-25	1.8868314043e-17	5.1347054273e-01	2.5000000000e+00	3.2295910828e-04	6.4696569544e-14	9.6723589086e-32	9.0471672491e-20
1.6982436525e-12	2.5000000000e+00	6.1098312178e-20	2.7292233150e-20	2.7032279925e-04	1.8749217420e-05	4.8559441988e-01	0.0000000000e+00	1.1335116257e-18	0.0000000000e+00	0.0000000000e+00	1.5272128079e-19	5.4049788776e-19	2.4883642129e-25	2.0169035906e-17	5.1378770964e-01	2.5000000000e+00	3.2879846323e-04	6.7384905920e-14	1.0855307307e-31	9.3104655085e-20
1.7378008287e-12	2.5000000000e+00	6.6922201546e-20	2.8013938034e-20	2.7013878344e-04	1.9182458946e-05	4.8526386305e-01	0.0000000000e+00	1.1819487353e-18	0.0000000000e+00	0.0000000000e+00	1.5667168113e-19	5.7160581396e-19	2.6879898680e-25	2.1556359402e-17	5.1411211079e-01	2.5000000000e+00	3.3470492027e-04	7.0175302560e-14	1.2181274834e-31	9.5797596566e-20
1.7782794100e-12	2.5000000000e+00	7.3291210561e-20	2.8751863567e-20	2.6995061105e-04	1.9625430186e-05	4.8492583955e-01	0.0000000000e+00	1.2322700982e-18	0.0000000000e+00	0.0000000000e+00	1.6071085592e-19	6.0435266354e-19	2.9024153364e-25	2.3035810325e-17	5.1444390670e-01	2.5000000000e+00	3.4067771029e-04	7.3071027986e-14	1.3667350461e-31	9.8551784618e-20
1.8197008586e-12	2.5000000000e+00	8.0255360813e-20	2.9506356949e-20	2.6975819128e-04	2.0078340994e-05	4.8458018629e-01	0.0000000000e+00	1.2845382917e-18	0.0000000000e+00	0.0000000000e+00	1.6484070805e-19	6.3881896918e-19	3.1326459050e-25	2.4613247371e-17	5.1478326119e-01	2.5000000000e+00	3.4671598919e-04	7.6075416092e-14	1.5332639821e-31	1.0136853876e-19
1.8620871367e-12	2.5000000000e+00	8.7869163883e-20	3.0277775023e-20	2.6956143151e-04	2.0541405342e-05	4.8422673684e-01	0.0000000000e+00	1.3388173082e-18	0.0000000000e+00	0.0000000000e+00	1.6906319035e-19	6.7508902297e-19	3.3797487702e-25	2.6294880352e-17	5.1513034149e-01	2.5000000000e+00	3.5281883613e-04	7.9191864829e-14	1.7198495710e-31	1.0424924490e-19
1.9054607180e-12	2.5000000000e+00	9.6192005823e-20	3.1066478227e-20	2.6936023721e-04	2.1014841381e-05	4.8386532144e-01	0.0000000000e+00	1.3951725403e-18	0.0000000000e+00	0.0000000000e+00	1.7338027872e-19	7.1325117310e-19	3.6448564355e-25	2.8087289828e-17	5.1548531823e-01	2.5000000000e+00	3.5898525203e-04	8.2423834297e-14	1.9288788565e-31	1.0719526890e-19
1.9498445998e-12	2.5000000000e+00	1.0528857795e-19	3.1872836428e-20	2.6915451198e-04	2.1498871497e-05	4.8349576691e-01	0.0000000000e+00	1.4536707679e-18	0.0000000000e+00	0.0000000000e+00	1.7779399832e-19	7.5339789499e-19	3.9291702935e-25	2.9997446959e-17	5.1584836554e-01	2.5000000000e+00	3.6521415793e-04	8.5774845017e-14	2.1630190025e-31	1.1020803880e-19
1.9952623150e-12	2.5000000000e+00	1.1522933415e-19	3.2697226266e-20	2.6894415750e-04	2.1993722377e-05	4.8311789661e-01	0.0000000000e+00	1.5143801368e-18	0.0000000000e+00	0.0000000000e+00	1.8230641173e-19	7.9562603826e-19	4.2339643435e-25	3.2032734754e-17	5.1621966112e-01	2.5000000000e+00	3.7150439361e-04	8.9248475625e-14	2.4252501300e-31	1.1328900592e-19
2.0417379447e-12	2.5000000000e+00	1.2609099043e-19	3.3540031958e-20	2.6872907346e-04	2.2499625068e-05	4.8273153037e-01	0.0000000000e+00	1.5773701355e-18	0.0000000000e+00	0.0000000000e+00	1.8691962272e-19	8.4003701378e-19	4.5605890966e-25	3.4200970093e-17	5.1659938622e-01	2.5000000000e+00	3.7785471623e-04	9.2848360403e-14	2.7189013878e-31	1.1643965553e-19
2.0892961309e-12	2.5000000000e+00	1.3795706492e-19	3.4401645138e-20	2.6850915757e-04	2.3016815033e-05	4.8233648445e-01	0.0000000000e+00	1.6427115668e-18	0.0000000000e+00	0.0000000000e+00	1.9163577559e-19	8.8673700901e-19	4.9104756602e-25	3.6510426800e-17	5.1698772578e-01	2.5000000000e+00	3.8426379915e-04	9.6578186467e-14	3.0476912727e-31	1.1966150365e-19
2.1379620895e-12	2.5000000000e+00	1.5091846283e-19	3.5282465020e-20	2.6828430554e-04	2.3545532215e-05	4.8193257148e-01	0.0000000000e+00	1.7104765144e-18	0.0000000000e+00	0.0000000000e+00	1.9645705603e-19	9.3583720603e-19	5.2851400150e-25	3.8969859724e-17	5.1738486845e-01	2.5000000000e+00	3.9073023085e-04	1.0044169063e-13	3.4157725012e-31	1.2295609872e-19
2.1877616239e-12	2.5000000000e+00	1.6507411014e-19	3.6182898495e-20	2.6805441100e-04	2.4086021094e-05	4.8151960040e-01	0.0000000000e+00	1.7807383055e-18	0.0000000000e+00	0.0000000000e+00	2.0138569159e-19	9.8745401116e-19	5.6861874769e-25	4.1588529850e-17	5.1779100666e-01	2.5000000000e+00	3.9725251397e-04	1.0444265598e-13	3.8277819356e-31	1.2632502194e-19
2.2387211386e-12	2.5000000000e+00	1.8053163941e-19	3.7103360173e-20	2.6781936552e-04	2.4638530746e-05	4.8109737641e-01	0.0000000000e+00	1.8535714677e-18	0.0000000000e+00	0.0000000000e+00	2.0642395206e-19	1.0417092955e-18	6.1153173611e-25	4.4376230493e-17	5.1820633663e-01	2.5000000000e+00	4.0382906456e-04	1.0858490803e-13	4.2888961690e-31	1.2976988722e-19
2.2908676528e-12	2.5000000000e+00	1.9740813149e-19	3.8044272509e-20	2.6757905852e-04	2.5203314900e-05	4.8066570092e-01	0.0000000000e+00	1.9290516808e-18	0.0000000000e+00	0.0000000000e+00	2.1157415005e-19	1.0987306447e-18	6.5743278619e-25	4.7343314601e-17	5.1863105850e-01	2.5000000000e+00	4.1045821147e-04	1.1287231060e-13	4.8048933987e-31	1.3329234205e-19
2.3442288153e-12	2.5000000000e+00	2.1583091848e-19	3.9006065840e-20	2.6733337733e-04	2.5780631994e-05	4.8022437148e-01	0.0000000000e+00	2.0072557228e-18	0.0000000000e+00	0.0000000000e+00	2.1683864127e-19	1.1586516218e-18	7.0651211353e-25	5.0500723151e-17	5.1906537632e-01	2.5000000000e+00	4.1713819587e-04	1.1730876121e-13	5.3822222280e-31	1.3689406731e-19
2.3988329190e-12	2.5000000000e+00	2.3593845122e-19	3.9989178532e-20	2.6708220706e-04	2.6370745234e-05	4.7977318173e-01	0.0000000000e+00	2.0882614102e-18	0.0000000000e+00	0.0000000000e+00	2.2221982530e-19	1.2216120389e-18	7.5897086223e-25	5.3860014730e-17	5.1950949815e-01	2.5000000000e+00	4.2386717107e-04	1.2189818620e-13	6.0280782455e-31	1.4057677857e-19
2.4547089157e-12	2.5000000000e+00	2.5788123827e-19	4.0994056956e-20	2.6682543063e-04	2.6973922643e-05	4.7931192137e-01	0.0000000000e+00	2.1721475332e-18	0.0000000000e+00	0.0000000000e+00	2.2772014558e-19	1.2877582449e-18	8.1502165753e-25	5.7433396222e-17	5.1996363608e-01	2.5000000000e+00	4.3064320243e-04	1.2664453537e-13	6.7504891056e-31	1.4434222499e-19
2.5118864315e-12	2.5000000000e+00	2.8182285887e-19	4.2021155724e-20	2.6656292873e-04	2.7590437122e-05	4.7884037606e-01	0.0000000000e+00	2.2589937825e-18	0.0000000000e+00	0.0000000000e+00	2.3334209051e-19	1.3572434208e-18	8.7488918662e-25	6.1233754768e-17	5.2042800631e-01	2.5000000000e+00	4.3746426757e-04	1.3155177621e-13	7.5584092516e-31	1.4819219201e-19
2.5703957828e-12	2.5000000000e+00	3.0794105944e-19	4.3070937617e-20	2.6629457979e-04	2.8220566495e-05	4.7835832740e-01	0.0000000000e+00	2.3488806722e-18	0.0000000000e+00	0.0000000000e+00	2.3908819325e-19	1.4302278934e-18	9.3881079897e-25	6.5274690810e-17	5.2090282920e-01	2.5000000000e+00	4.4432825680e-04	1.3662388773e-13	8.4618250432e-31	1.5212849955e-19
2.6302679919e-12	2.5000000000e+00	3.3642893559e-19	4.4143873750e-20	2.6602025991e-04	2.8864593564e-05	4.7786555287e-01	0.0000000000e+00	2.4418894545e-18	0.0000000000e+00	0.0000000000e+00	2.4496103253e-19	1.5068794593e-18	1.0070371371e-24	6.9570552467e-17	5.2138832931e-01	2.5000000000e+00	4.5123297371e-04	1.4186485379e-13	9.4718717467e-31	1.5615300374e-19
2.6915348039e-12	2.5000000000e+00	3.6749620974e-19	4.5240443646e-20	2.6573984292e-04	2.9522806159e-05	4.7736182576e-01	0.0000000000e+00	2.5381020282e-18	0.0000000000e+00	0.0000000000e+00	2.5096323310e-19	1.5873737235e-18	1.0798327907e-24	7.4136471049e-17	5.2188473545e-01	2.5000000000e+00	4.5817613618e-04	1.4727865606e-13	1.0600963403e-30	1.6026759741e-19
2.7542287033e-12	2.5000000000e+00	4.0137060977e-19	4.6361135278e-20	2.6545320025e-04	3.0195497182e-05	4.7684691517e-01	0.0000000000e+00	2.6376008404e-18	0.0000000000e+00	0.0000000000e+00	2.5709746592e-19	1.6718944549e-18	1.1574769784e-24	7.8988397810e-17	5.2239228076e-01	2.5000000000e+00	4.6515537746e-04	1.5286926650e-13	1.1862937093e-30	1.6447420997e-19
2.8183829313e-12	2.5000000000e+00	4.3829935521e-19	4.7506445172e-20	2.6516020096e-04	3.0882964655e-05	4.7632058587e-01	0.0000000000e+00	2.7404687808e-18	0.0000000000e+00	0.0000000000e+00	2.6336644878e-19	1.7606339550e-18	1.2402642600e-24	8.4143141995e-17	5.2291120272e-01	2.5000000000e+00	4.7216824774e-04	1.5864063929e-13	1.3273213229e-30	1.6877480845e-19
