Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
1.6218100974e-12	4.1878596825e-03	2.2413829129e-21	1.9258897341e-11	2.8340875264e-17	6.1275512563e-06	2.8092411847e-12	0.0000000000e+00	7.9490087070e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.9011416867e-11	3.6018181467e-06	1.3065622052e-10	0.0000000000e+00	1.9862036184e-17	4.1680457988e-16	6.0009362602e-06	9.9579640984e-01	6.2647040843e-21
1.6595869074e-12	4.2346155812e-03	2.4647935243e-21	1.9504036918e-11	2.8353860324e-17	6.1270173801e-06	3.0104531417e-12	0.0000000000e+00	7.9428822064e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	1.9709277964e-11	3.6010803254e-06	1.3625577921e-10	0.0000000000e+00	1.9846727576e-17	4.2840800065e-16	5.9963110675e-06	9.9574965983e-01	6.5305139610e-21
1.6982436525e-12	4.2809297972e-03	2.7096519704e-21	1.9746860904e-11	2.8367134749e-17	6.1265662510e-06	3.2251449364e-12	0.0000000000e+00	7.9366179048e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.0429639308e-11	3.6005310186e-06	1.4205444359e-10	0.0000000000e+00	1.9831074645e-17	4.4027244223e-16	5.9915818648e-06	9.9570335134e-01	6.8046541357e-21
1.7378008287e-12	4.3267717702e-03	2.9779372353e-21	1.9987209035e-11	2.8380705722e-17	6.1261716667e-06	3.4541538237e-12	0.0000000000e+00	7.9302128394e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.1173065589e-11	3.6001086525e-06	1.4805739624e-10	0.0000000000e+00	1.9815069973e-17	4.5240355506e-16	5.9867464046e-06	9.9565751501e-01	7.0872775296e-21
1.7782794100e-12	4.3721111629e-03	3.2718032913e-21	2.0224922223e-11	2.8394580305e-17	6.1258157754e-06	3.6983645792e-12	0.0000000000e+00	7.9236639839e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.1940127382e-11	3.5997711711e-06	1.5426986855e-10	0.0000000000e+00	1.9798705984e-17	4.6480710182e-16	5.9818023943e-06	9.9561218125e-01	7.3785373061e-21
1.8197008586e-12	4.4169179364e-03	3.5935938596e-21	2.0459842956e-11	2.8408765514e-17	6.1254865344e-06	3.9587119027e-12	0.0000000000e+00	7.9169682488e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.2731400824e-11	3.5994900995e-06	1.6069713724e-10	0.0000000000e+00	1.9781974950e-17	4.7748895910e-16	5.9767474955e-06	9.9556738013e-01	7.6785869051e-21
1.8620871367e-12	4.4611624271e-03	3.9458583548e-21	2.0691815691e-11	2.8423268363e-17	6.1251759510e-06	4.2361829223e-12	0.0000000000e+00	7.9101224814e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.3547467272e-11	3.5992464319e-06	1.6734452068e-10	0.0000000000e+00	1.9764868984e-17	4.9045511907e-16	5.9715793237e-06	9.9552314136e-01	7.9875800935e-21
1.9054607180e-12	4.5048154250e-03	4.3313690960e-21	2.0920687269e-11	2.8438095910e-17	6.1248787898e-06	4.5318198073e-12	0.0000000000e+00	7.9031234661e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.4388912962e-11	3.5990276112e-06	1.7421737512e-10	0.0000000000e+00	1.9747380045e-17	5.0371169112e-16	5.9662954477e-06	9.9547949415e-01	8.3056710252e-21
1.9498445998e-12	4.5478482536e-03	4.7531398826e-21	2.1146307334e-11	2.8453255281e-17	6.1245916816e-06	4.8467224900e-12	0.0000000000e+00	7.8959679236e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.5256328643e-11	3.5988254488e-06	1.8132109086e-10	0.0000000000e+00	1.9729499930e-17	5.1726490362e-16	5.9608933890e-06	9.9543646720e-01	8.6330143146e-21
1.9952623150e-12	4.5902328513e-03	5.2144460349e-21	2.1368528751e-11	2.8468753694e-17	6.1243125073e-06	5.1820515023e-12	0.0000000000e+00	7.8886525110e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.6150309209e-11	3.5986346833e-06	1.8866108824e-10	0.0000000000e+00	1.9711220279e-17	5.3112110555e-16	5.9553706211e-06	9.9539408859e-01	8.9697651223e-21
2.0417379447e-12	4.6319418529e-03	5.7188460075e-21	2.1587208043e-11	2.8484598477e-17	6.1240399659e-06	5.5390309296e-12	0.0000000000e+00	7.8811738206e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.7071453323e-11	3.5984519735e-06	1.9624281357e-10	0.0000000000e+00	1.9692532570e-17	5.4528676822e-16	5.9497245688e-06	9.9535238568e-01	9.3160792525e-21
2.0892961309e-12	4.6729486715e-03	6.2702046926e-21	2.1802205811e-11	2.8500797074e-17	6.1237733032e-06	5.9189514867e-12	0.0000000000e+00	7.8735283794e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.8020363027e-11	3.5982752651e-06	2.0407173506e-10	0.0000000000e+00	1.9673428118e-17	5.5976848699e-16	5.9439526079e-06	9.9531138507e-01	9.6721132656e-21
2.1379620895e-12	4.7132275812e-03	6.8727185345e-21	2.2013387174e-11	2.8517357058e-17	6.1235120992e-06	6.3231737191e-12	0.0000000000e+00	7.8657126486e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	2.8997643354e-11	3.5981032932e-06	2.1215333861e-10	0.0000000000e+00	1.9653898072e-17	5.7457298287e-16	5.9380520640e-06	9.9527111248e-01	1.0038024599e-20
