Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
1.6218100974e-12	1.2576871381e+09	5.7119725826e-09	6.5940083904e+00	3.4390984571e-07	-1.5711166198e+04	5.2148139875e+00	3.0746432013e-04	-1.6223872896e-07	1.7093330933e+02	1.4533179448e+05	-1.6119550297e+05	1.8391329471e+01	-2.3002012688e+04	1.4732716586e+02	1.2205184219e-10	-4.0539468191e-07	3.0727565528e-04	-1.2248232408e+05	-1.2575261201e+09	7.0077856659e-09
1.6595869074e-12	1.2179016991e+09	6.1187587328e-09	6.3854189179e+00	3.4355831988e-07	-1.2751780792e+04	5.4383062697e+00	3.0722734288e-04	-1.6211361961e-07	1.7310905794e+02	1.3875350725e+05	-1.5165984325e+05	1.8554161560e+01	-1.6520973850e+04	1.4911659010e+02	1.3112614199e-10	-4.0508161719e-07	3.0703885246e-04	-1.2238708860e+05	-1.2177502188e+09	7.0642641626e-09
1.6982436525e-12	1.1784920954e+09	6.5525562083e-09	6.1787986214e+00	3.4323047352e-07	-1.0722406484e+04	5.6697453539e+00	3.0698503551e-04	-1.6198507996e-07	1.7526425441e+02	1.3434247114e+05	-1.4522142778e+05	1.8714414289e+01	-1.2209393600e+04	1.5088009476e+02	1.4092343629e-10	-4.0476045388e-07	3.0679669528e-04	-1.2228962769e+05	-1.1783470554e+09	7.1184482549e-09
1.7378008287e-12	1.1394843317e+09	7.0150187142e-09	5.9742841973e+00	3.4291721542e-07	-9.3170890723e+03	5.9093380897e+00	3.0673728318e-04	-1.6185323262e-07	1.7739747630e+02	1.3138332123e+05	-1.4085893614e+05	1.8871944749e+01	-9.3519269826e+03	1.5261619345e+02	1.5150512826e-10	-4.0443136308e-07	3.0654907819e-04	-1.2218992008e+05	-1.1393436561e+09	7.1703298377e-09
1.7782794100e-12	1.1009042229e+09	7.5078914910e-09	5.7720112568e+00	3.4261203847e-07	-8.3267294799e+03	6.1572932752e+00	3.0648396864e-04	-1.6171814032e-07	1.7950731163e+02	1.2938705047e+05	-1.3787426096e+05	1.9026610708e+01	-7.4595958764e+03	1.5432340764e+02	1.6293793608e-10	-4.0409441011e-07	3.0629589057e-04	-1.2208793560e+05	-1.1007665339e+09	7.2199048845e-09
1.8197008586e-12	1.0627773298e+09	8.0330157225e-09	5.5721140114e+00	3.4231031530e-07	-7.6096230611e+03	6.4138215169e+00	3.0622497223e-04	-1.6157982364e-07	1.8159236237e+02	1.2802215890e+05	-1.3579419636e+05	1.9178270921e+01	-6.2009357113e+03	1.5600026993e+02	1.7529434140e-10	-4.0374958564e-07	3.0603701748e-04	-1.2198363758e+05	-1.0626417227e+09	7.2671734604e-09
1.8620871367e-12	1.0251288939e+09	8.5923331114e-09	5.3747249468e+00	3.4200878502e-07	-7.0710592266e+03	6.6791350842e+00	3.0596017188e-04	-1.6143827331e-07	1.8365124802e+02	1.2706697726e+05	-1.3430236125e+05	1.9326785458e+01	-5.3543174798e+03	1.5764532746e+02	1.8865307384e-10	-4.0339682734e-07	3.0577234018e-04	-1.2187698454e+05	-1.0249947806e+09	7.3121397120e-09
1.9054607180e-12	9.8798377073e+08	9.1878906296e-09	5.1799744849e+00	3.4170515863e-07	-6.6483324943e+03	6.9534477589e+00	3.0568944309e-04	-1.6129345932e-07	1.8568260919e+02	1.2637463757e+05	-1.3318918096e+05	1.9472016030e+01	-4.7729170769e+03	1.5925714539e+02	2.0309963410e-10	-4.0303603566e-07	3.0550173649e-04	-1.2176793139e+05	-9.8785077241e+08	7.3548118425e-09
1.9498445998e-12	9.5136636155e+08	9.8218454438e-09	4.9879906375e+00	3.4139783345e-07	-6.3004228023e+03	7.2369746807e+00	3.0541265891e-04	-1.6114533713e-07	1.8768511139e+02	1.2584895609e+05	-1.3231745049e+05	1.9613826327e+01	-4.3605974061e+03	1.6083431037e+02	2.1872685855e-10	-4.0266708478e-07	3.0522508111e-04	-1.2165643028e+05	-9.5123423677e+08	7.3952020682e-09
1.9952623150e-12	9.1530054466e+08	1.0496470023e-08	4.7988986524e+00	3.4108568557e-07	-6.0008443469e+03	7.5299321888e+00	3.0512968991e-04	-1.6099385193e-07	1.8965744873e+02	1.2542772131e+05	-1.3159847132e+05	1.9752082355e+01	-4.0551958155e+03	1.6237543417e+02	2.3563552846e-10	-4.0228983015e-07	3.0494224576e-04	-1.2154243116e+05	-9.1516914064e+08	7.4333265543e-09
2.0417379447e-12	8.7980960571e+08	1.1214157429e-08	4.6128206544e+00	3.4076791855e-07	-5.7326505043e+03	7.8325376594e+00	3.0484040418e-04	-1.6083894174e-07	1.9159834775e+02	1.2507102081e+05	-1.3097538331e+05	1.9886652783e+01	-3.8168505843e+03	1.6387915729e+02	2.5393502706e-10	-4.0190411373e-07	3.0465309933e-04	-1.2142588222e+05	-8.7967882654e+08	7.4692053351e-09
2.0892961309e-12	8.4491616787e+08	1.1977426800e-08	4.4298752834e+00	3.4044396260e-07	-5.4852904896e+03	8.1450093420e+00	3.0454466727e-04	-1.6068053918e-07	1.9350657122e+02	1.2475389597e+05	-1.3041267592e+05	2.0017409282e+01	-3.6206553439e+03	1.6534415259e+02	2.7374404801e-10	-4.0150976741e-07	3.0435750798e-04	-1.2130673009e+05	-8.4478595313e+08	7.5028622102e-09
2.1379620895e-12	8.1064212182e+08	1.2788929015e-08	4.2501773304e+00	3.4011339427e-07	-5.2521451143e+03	8.4675661920e+00	3.0424234215e-04	-1.6051857312e-07	1.9538092200e+02	1.2446058341e+05	-1.2988796553e+05	2.0144226874e+01	-3.4509003714e+03	1.6676912892e+02	2.9519135895e-10	-4.0110661536e-07	3.0405533515e-04	-1.2118492004e+05	-8.1051243349e+08	7.5343246273e-09
2.1877616239e-12	7.7700855599e+08	1.3651452570e-08	4.0738373745e+00	3.3977588936e-07	-5.0292104625e+03	8.8004277033e+00	3.0393328923e-04	-1.6035296926e-07	1.9722024681e+02	1.2418143960e+05	-1.2938760362e+05	2.0266984273e+01	-3.2979970642e+03	1.6815283482e+02	3.1841662426e-10	-4.0069447557e-07	3.0374644157e-04	-1.2106039610e+05	-7.7687936968e+08	7.5636235437e-09
2.2387211386e-12	7.4403568759e+08	1.4567929639e-08	3.9009614230e+00	3.3943118708e-07	-4.8140966239e+03	9.1438137391e+00	3.0361736628e-04	-1.6018365082e-07	1.9902344001e+02	1.2391060142e+05	-1.2890333623e+05	2.0385564229e+01	-3.1561385101e+03	1.6949406203e+02	3.4357129116e-10	-4.0027316081e-07	3.0343068534e-04	-1.2093310109e+05	-7.4390698718e+08	7.5907932695e-09
2.2908676528e-12	7.1174279450e+08	1.5541442345e-08	3.7316505552e+00	3.3907906676e-07	-4.6054144436e+03	9.4979443637e+00	3.0329442842e-04	-1.6001053890e-07	2.0078944736e+02	1.2364455380e+05	-1.2843025814e+05	2.0499853858e+01	-3.0218669932e+03	1.7079164912e+02	3.7081954374e-10	-3.9984247924e-07	3.0310792182e-04	-1.2080297671e+05	-7.1161456876e+08	7.6158712956e-09
2.3442288153e-12	6.8014814860e+08	1.6575229235e-08	3.5660005741e+00	3.3871933238e-07	-4.4023852144e+03	9.8630396750e+00	3.0296432808e-04	-1.5983355265e-07	2.0251726960e+02	1.2338121818e+05	-1.2796551122e+05	2.0609744977e+01	-2.8931625183e+03	1.7204448493e+02	4.0033932985e-10	-3.9940223479e-07	3.0277800370e-04	-1.2066996349e+05	-6.8002038917e+08	7.6388981034e-09
2.3988329190e-12	6.4926895085e+08	1.7672691966e-08	3.4041016664e+00	3.3835180244e-07	-4.2045958585e+03	1.0239319638e+01	3.0262691497e-04	-1.5965260943e-07	2.0420596607e+02	1.2311938107e+05	-1.2750746806e+05	2.0715134419e+01	-2.7688713403e+03	1.7325151200e+02	4.3232346596e-10	-3.9895222737e-07	3.0244078094e-04	-1.2053400086e+05	-6.4914165099e+08	7.6599169603e-09
2.4547089157e-12	6.1912126852e+08	1.8837402201e-08	3.2460380742e+00	3.3797630350e-07	-4.0118478557e+03	1.0627003923e+01	3.0228203605e-04	-1.5946762486e-07	2.0585465810e+02	1.2285834167e+05	-1.2705522856e+05	2.0815924352e+01	-2.6483535778e+03	1.7441172981e+02	4.6698082541e-10	-3.9849225299e-07	3.0209610075e-04	-1.2039502713e+05	-6.1899442239e+08	7.6789737008e-09
2.5118864315e-12	5.8971997501e+08	2.0073108724e-08	3.0918877795e+00	3.3759266601e-07	-3.8240652725e+03	1.1026311743e+01	3.0192953550e-04	-1.5927851285e-07	2.0746253230e+02	1.2259769757e+05	-1.2660831365e+05	2.0912022565e+01	-2.5312689219e+03	1.7552419797e+02	5.0453761618e-10	-3.9802210383e-07	3.0174380756e-04	-1.2025297946e+05	-5.8959357726e+08	7.6961164951e-09
2.5703957828e-12	5.6107869268e+08	2.1383744773e-08	2.9417222045e+00	3.3720072178e-07	-3.6412394871e+03	1.1437461700e+01	3.0156925468e-04	-1.5908518563e-07	2.0902884370e+02	1.2233721615e+05	-1.2616648144e+05	2.1003342762e+01	-2.4174480745e+03	1.7658803921e+02	5.4523875410e-10	-3.9754156822e-07	3.0138374301e-04	-1.2010779388e+05	-5.6095273816e+08	7.7113956064e-09
2.6302679919e-12	5.3320973900e+08	2.2773435596e-08	2.7956059301e+00	3.3680030232e-07	-3.4633964623e+03	1.1860671635e+01	3.0120103214e-04	-1.5888755375e-07	2.1055291869e+02	1.2207675872e+05	-1.2572961860e+05	2.1089804824e+01	-2.3068168514e+03	1.7760244221e+02	5.8934933842e-10	-3.9705043070e-07	3.0101574593e-04	-1.1995940528e+05	-5.3308422273e+08	7.7248631380e-09
2.6915348039e-12	5.0612407668e+08	2.4246506228e-08	2.6535964338e+00	3.3639123795e-07	-3.2905775896e+03	1.2296158480e+01	3.0082470352e-04	-1.5868552606e-07	2.1203415776e+02	1.2181623623e+05	-1.2529767694e+05	2.1171335058e+01	-2.1993519570e+03	1.7856666420e+02	6.3715623678e-10	-3.9654847194e-07	3.0063965228e-04	-1.1980774740e+05	-5.0599899369e+08	7.7365727734e-09
2.7542287033e-12	4.7983126787e+08	2.5807489506e-08	2.5157438496e+00	3.3597335717e-07	-3.1228286125e+03	1.2744138124e+01	3.0044010160e-04	-1.5847900967e-07	2.1347203799e+02	1.2155558392e+05	-1.2487063700e+05	2.1247866425e+01	-2.0950555982e+03	1.7948003341e+02	6.8896978690e-10	-3.9603546874e-07	3.0025529516e-04	-1.1965275279e+05	-4.7970661322e+08	7.7465795098e-09
2.8183829313e-12	4.5433943307e+08	2.7461134303e-08	2.3820907535e+00	3.3554648635e-07	-2.9601933003e+03	1.3204825280e+01	3.0004705621e-04	-1.5826790998e-07	2.1486611527e+02	1.2129474693e+05	-1.2444848731e+05	2.1319338746e+01	-1.9939411489e+03	1.8034195122e+02	7.4512562337e-10	-3.9551119403e-07	2.9986250477e-04	-1.1949435286e+05	-4.5421520183e+08	7.7549393876e-09
2.8840315031e-12	4.2965521510e+08	2.9212414008e-08	2.2526719735e+00	3.3511044955e-07	-2.8027098625e+03	1.3678433366e+01	2.9964539426e-04	-1.5805213065e-07	2.1621602635e+02	1.2103367234e+05	-1.2403121283e+05	2.1385698885e+01	-1.8960251677e+03	1.8115189407e+02	8.0598663767e-10	-3.9497541680e-07	2.9946110838e-04	-1.1933247780e+05	-4.2953140236e+08	7.7617092183e-09
2.9512092267e-12	4.0578374832e+08	3.1066535232e-08	2.1275144291e+00	3.3466506837e-07	-2.6504089035e+03	1.4165174388e+01	2.9923493966e-04	-1.5783157355e-07	2.1752149043e+02	1.2077230467e+05	-1.2361878846e+05	2.1446900901e+01	-1.8013229400e+03	1.8190941511e+02	8.7194508085e-10	-3.9442790206e-07	2.9905093034e-04	-1.1916705662e+05	-4.0566034918e+08	7.7669463116e-09
